netID,fishID,species,length,weight,scale
12,16,Bluegill,61,2.9,FALSE
12,23,Bluegill,66,4.5,FALSE
12,30,Bluegill,70,5.2,FALSE
12,44,Bluegill,38,0.5,FALSE
12,50,Bluegill,42,1,FALSE
12,65,Bluegill,54,2.1,FALSE
13,68,Bluegill,36,0.5,FALSE
13,69,Bluegill,59,2,FALSE
13,70,Bluegill,39,0.5,FALSE
13,71,Bluegill,34,0.5,FALSE
13,73,Bluegill,40,1,FALSE
13,74,Bluegill,35,0.5,FALSE
13,75,Bluegill,32,1,FALSE
13,76,Bluegill,37,0.5,FALSE
13,77,Bluegill,38,1,FALSE
13,78,Bluegill,69,7,FALSE
13,80,Bluegill,39,1,FALSE
13,81,Bluegill,37,0.5,FALSE
13,82,Bluegill,38,1,FALSE
14,86,Bluegill,33,0.5,FALSE
14,87,Bluegill,31,1.5,FALSE
14,88,Bluegill,36,1.5,FALSE
4,118,Bluegill,150,60,TRUE
4,119,Bluegill,193,145,TRUE
4,120,Bluegill,185,123,TRUE
4,121,Bluegill,152,67,TRUE
4,122,Bluegill,160,75,TRUE
4,123,Bluegill,185,118,TRUE
4,124,Bluegill,170,100,TRUE
4,125,Bluegill,135,35,TRUE
4,126,Bluegill,183,120,TRUE
4,127,Bluegill,168,90,TRUE
4,128,Bluegill,165,85,TRUE
4,129,Bluegill,178,100,TRUE
4,130,Bluegill,193,155,TRUE
4,131,Bluegill,193,140,TRUE
4,132,Bluegill,201,180,TRUE
4,133,Bluegill,203,185,TRUE
4,134,Bluegill,99,15,TRUE
5,138,Bluegill,135,42,TRUE
5,139,Bluegill,38,2,FALSE
5,143,Bluegill,165,68,TRUE
5,145,Bluegill,51,4,FALSE
5,146,Bluegill,203,184,TRUE
5,147,Bluegill,168,98,TRUE
5,148,Bluegill,152,62,TRUE
5,150,Bluegill,157,76,TRUE
10,151,Bluegill,173,100,TRUE
10,152,Bluegill,173,95,TRUE
10,153,Bluegill,185,130,TRUE
10,154,Bluegill,218,250,TRUE
10,155,Bluegill,206,197,TRUE
10,156,Bluegill,165,78,TRUE
10,157,Bluegill,152,72,TRUE
10,158,Bluegill,170,98,TRUE
9,161,Bluegill,206,175,TRUE
9,162,Bluegill,191,144,TRUE
9,163,Bluegill,193,148,TRUE
9,164,Bluegill,183,130,TRUE
9,165,Bluegill,201,185,TRUE
9,166,Bluegill,221,225,TRUE
9,167,Bluegill,165,80,FALSE
9,168,Bluegill,206,180,TRUE
9,169,Bluegill,203,175,TRUE
9,171,Bluegill,193,160,FALSE
6,176,Bluegill,213,200,TRUE
6,177,Bluegill,155,74,TRUE
6,178,Bluegill,157,62,TRUE
6,179,Bluegill,211,220,TRUE
6,180,Bluegill,188,149,TRUE
6,181,Bluegill,188,139,TRUE
6,182,Bluegill,196,132,TRUE
6,183,Bluegill,188,139,TRUE
6,184,Bluegill,160,73,TRUE
6,185,Bluegill,196,120,TRUE
6,186,Bluegill,221,242,TRUE
6,187,Bluegill,180,130,TRUE
6,188,Bluegill,152,70,TRUE
6,189,Bluegill,140,40,TRUE
6,190,Bluegill,203,170,TRUE
6,191,Bluegill,145,52,TRUE
6,192,Bluegill,147,32,TRUE
11,193,Bluegill,211,218,TRUE
11,194,Bluegill,147,60,TRUE
11,195,Bluegill,152,70,TRUE
17,196,Bluegill,203,192,TRUE
17,197,Bluegill,132,31,TRUE
17,199,Bluegill,142,59,TRUE
20,201,Bluegill,140,54,TRUE
15,203,Bluegill,142,40,TRUE
15,206,Bluegill,147,30,TRUE
15,207,Bluegill,119,20,TRUE
16,210,Bluegill,229,280,TRUE
16,211,Bluegill,224,260,TRUE
16,212,Bluegill,224,260,TRUE
16,213,Bluegill,224,240,TRUE
16,214,Bluegill,150,60,TRUE
16,215,Bluegill,137,60,TRUE
21,217,Bluegill,94,14,TRUE
21,219,Bluegill,130,38,TRUE
26,220,Bluegill,132,49,TRUE
26,221,Bluegill,137,41,TRUE
23,224,Bluegill,114,20,TRUE
27,226,Bluegill,127,20,TRUE
27,228,Bluegill,122,20,TRUE
28,230,Bluegill,137,50,TRUE
28,231,Bluegill,234,280,TRUE
206,501,Bluegill,38,0.7,FALSE
205,502,Bluegill,43,1.4,FALSE
205,503,Bluegill,56,1.5,FALSE
205,504,Bluegill,53,1.4,FALSE
205,505,Bluegill,38,1,FALSE
205,506,Bluegill,48,1.8,FALSE
205,507,Bluegill,48,1.4,FALSE
205,508,Bluegill,36,0.6,FALSE
205,509,Bluegill,30,0.3,FALSE
205,510,Bluegill,36,0.8,FALSE
205,511,Bluegill,51,1.3,FALSE
205,512,Bluegill,58,2.4,FALSE
205,513,Bluegill,33,0.7,FALSE
205,514,Bluegill,38,1,FALSE
205,515,Bluegill,33,0.6,FALSE
205,516,Bluegill,56,2.8,FALSE
205,517,Bluegill,33,1.1,FALSE
205,518,Bluegill,53,2,FALSE
205,519,Bluegill,66,4.5,FALSE
205,520,Bluegill,71,4.9,FALSE
101,533,Bluegill,213,190,TRUE
101,538,Bluegill,216,198,TRUE
101,539,Bluegill,216,210,TRUE
101,540,Bluegill,231,258,TRUE
101,541,Bluegill,193,138,TRUE
101,542,Bluegill,226,236,TRUE
101,543,Bluegill,163,75,TRUE
101,544,Bluegill,224,229,TRUE
101,545,Bluegill,178,101,TRUE
101,546,Bluegill,180,110,TRUE
101,547,Bluegill,239,295,TRUE
101,548,Bluegill,183,113,TRUE
101,549,Bluegill,211,191,TRUE
101,550,Bluegill,191,139,TRUE
101,552,Bluegill,191,137,TRUE
101,553,Bluegill,201,165,TRUE
101,554,Bluegill,178,103,TRUE
101,555,Bluegill,201,166,TRUE
101,556,Bluegill,180,115,TRUE
101,557,Bluegill,165,89,TRUE
101,558,Bluegill,191,121,TRUE
101,559,Bluegill,157,78,TRUE
101,560,Bluegill,152,63,TRUE
101,561,Bluegill,206,181,TRUE
101,562,Bluegill,147,60,TRUE
101,563,Bluegill,163,74,TRUE
101,564,Bluegill,180,101,TRUE
101,565,Bluegill,193,141,TRUE
101,566,Bluegill,216,228,TRUE
101,567,Bluegill,229,266,TRUE
101,568,Bluegill,168,93,TRUE
101,569,Bluegill,163,74,TRUE
101,570,Bluegill,165,82,TRUE
101,571,Bluegill,231,274,TRUE
101,572,Bluegill,201,151,TRUE
101,573,Bluegill,188,129,TRUE
101,574,Bluegill,175,98,TRUE
101,575,Bluegill,145,57,TRUE
101,576,Bluegill,152,62,TRUE
101,577,Bluegill,175,107,TRUE
101,578,Bluegill,221,240,TRUE
101,580,Bluegill,178,110,TRUE
101,581,Bluegill,211,208,TRUE
101,583,Bluegill,140,48,TRUE
101,585,Bluegill,173,96,TRUE
101,586,Bluegill,152,73,TRUE
101,587,Bluegill,213,198,TRUE
107,621,Bluegill,203,156,TRUE
107,622,Bluegill,221,242,TRUE
107,623,Bluegill,203,187,TRUE
107,624,Bluegill,229,242,TRUE
107,625,Bluegill,170,83,TRUE
104,658,Bluegill,213,197,TRUE
104,659,Bluegill,229,255,TRUE
104,660,Bluegill,185,111,TRUE
103,695,Bluegill,137,45.3,TRUE
103,697,Bluegill,147,50.9,TRUE
103,699,Bluegill,66,3.4,TRUE
103,700,Bluegill,150,54.5,TRUE
103,701,Bluegill,142,48.8,TRUE
103,703,Bluegill,150,50.9,TRUE
111,717,Bluegill,130,35,TRUE
111,718,Bluegill,137,45,TRUE
111,719,Bluegill,132,39,TRUE
111,722,Bluegill,137,43,TRUE
111,726,Bluegill,137,50,TRUE
113,742,Bluegill,135,39,TRUE
114,755,Bluegill,66,3.1,FALSE
116,761,Bluegill,97,10.9,FALSE
116,762,Bluegill,91,10.6,FALSE
112,774,Bluegill,203,171,TRUE
112,780,Bluegill,76,6.1,FALSE
112,781,Bluegill,109,19,FALSE
120,802,Bluegill,94,10.7,TRUE
120,803,Bluegill,84,8.9,TRUE
120,804,Bluegill,91,10.6,TRUE
120,805,Bluegill,84,8.7,TRUE
120,806,Bluegill,86,9.3,TRUE
120,807,Bluegill,69,4,TRUE
119,824,Bluegill,119,25,TRUE
122,826,Bluegill,132,33,TRUE
12,7,Bluntnose Minnow,59,2,FALSE
12,8,Bluntnose Minnow,58,1.7,FALSE
12,10,Bluntnose Minnow,54,1.5,FALSE
12,11,Bluntnose Minnow,60,1.7,FALSE
12,12,Bluntnose Minnow,78,2.3,FALSE
12,14,Bluntnose Minnow,62,2.2,FALSE
12,17,Bluntnose Minnow,59,2,FALSE
12,18,Bluntnose Minnow,63,2.5,FALSE
12,19,Bluntnose Minnow,58,2,FALSE
12,21,Bluntnose Minnow,71,3.8,FALSE
12,22,Bluntnose Minnow,55,2.5,FALSE
12,24,Bluntnose Minnow,60,2.2,FALSE
12,25,Bluntnose Minnow,51,2,FALSE
12,26,Bluntnose Minnow,52,1.8,FALSE
12,27,Bluntnose Minnow,64,2.5,FALSE
12,28,Bluntnose Minnow,67,4,FALSE
12,29,Bluntnose Minnow,63,2,FALSE
12,31,Bluntnose Minnow,65,2,FALSE
12,32,Bluntnose Minnow,67,3,FALSE
12,33,Bluntnose Minnow,71,4.8,FALSE
12,34,Bluntnose Minnow,66,3,FALSE
12,35,Bluntnose Minnow,73,4,FALSE
12,36,Bluntnose Minnow,67,4,FALSE
12,37,Bluntnose Minnow,51,2.5,FALSE
12,38,Bluntnose Minnow,58,1.5,FALSE
12,39,Bluntnose Minnow,71,3.8,FALSE
12,40,Bluntnose Minnow,52,1.5,FALSE
12,41,Bluntnose Minnow,61,1.5,FALSE
12,42,Bluntnose Minnow,58,1.5,FALSE
12,43,Bluntnose Minnow,72,3,FALSE
12,46,Bluntnose Minnow,57,1.5,FALSE
12,47,Bluntnose Minnow,58,1.5,FALSE
12,48,Bluntnose Minnow,58,2,FALSE
12,49,Bluntnose Minnow,58,2.5,FALSE
12,51,Bluntnose Minnow,61,3,FALSE
12,52,Bluntnose Minnow,57,1,FALSE
12,53,Bluntnose Minnow,70,2,FALSE
12,54,Bluntnose Minnow,64,2.5,FALSE
12,55,Bluntnose Minnow,61,1,FALSE
12,56,Bluntnose Minnow,56,1,FALSE
12,58,Bluntnose Minnow,66,4,FALSE
12,59,Bluntnose Minnow,59,2,FALSE
12,60,Bluntnose Minnow,62,1.5,FALSE
12,61,Bluntnose Minnow,64,2.5,FALSE
12,62,Bluntnose Minnow,63,1.5,FALSE
12,63,Bluntnose Minnow,61,1.8,FALSE
12,64,Bluntnose Minnow,64,3,FALSE
13,79,Bluntnose Minnow,72,5,FALSE
13,84,Bluntnose Minnow,71,4,FALSE
205,522,Bluntnose Minnow,61,2.1,FALSE
101,589,Bluntnose Minnow,64,1.4,FALSE
101,590,Bluntnose Minnow,46,0.5,FALSE
101,591,Bluntnose Minnow,53,1,FALSE
101,592,Bluntnose Minnow,58,1.7,FALSE
101,593,Bluntnose Minnow,56,1,FALSE
101,594,Bluntnose Minnow,58,1.1,FALSE
101,595,Bluntnose Minnow,58,1,FALSE
101,596,Bluntnose Minnow,56,1,FALSE
101,597,Bluntnose Minnow,53,1,FALSE
101,598,Bluntnose Minnow,51,0.8,FALSE
101,599,Bluntnose Minnow,56,0.8,FALSE
101,600,Bluntnose Minnow,56,1,FALSE
101,601,Bluntnose Minnow,58,1,FALSE
101,603,Bluntnose Minnow,64,1.4,FALSE
101,605,Bluntnose Minnow,58,1.2,FALSE
101,606,Bluntnose Minnow,61,1.3,FALSE
101,607,Bluntnose Minnow,69,1.8,FALSE
101,608,Bluntnose Minnow,64,1.4,FALSE
101,609,Bluntnose Minnow,53,0.8,FALSE
101,610,Bluntnose Minnow,64,1.4,FALSE
101,611,Bluntnose Minnow,61,1.2,FALSE
101,612,Bluntnose Minnow,51,0.7,FALSE
101,613,Bluntnose Minnow,56,1.1,FALSE
